('2/1/1986', ['2.32', '3.16', '12.4', '53', '52.8', '-0.44'])
('3/1/1986', ['2.29', '3.28', '12.2', '52.4', '57.51', '4.19'])
('4/1/1986', ['2.3', '3.37', '12.1', '50.3', '32.21', '8.23'])
('5/1/1986', ['2.39', '3.01', '12', '51', '71.69', '13.99'])
('6/1/1986', ['2.32', '2.47', '11.9', '50.1', '66.85', '19.47'])
('7/1/1986', ['2', '2.25', '12', '52.9', '66.74', '21.31'])
('8/1/1986', ['1.73', '2.26', '12.3', '54.4', '65.54', '19.97'])
('9/1/1986', ['1.45', '2.28', '12.8', '54.6', '57.31', '15.77'])
('10/1/1986', ['1.4', '2.3', '13.2', '54.4', '31.5', '9.79'])
('11/1/1986', ['1.47', '2.43', '13.4', '54.6', '59.13', '2.27'])
('12/1/1986', ['1.5', '2.49', '13.4', '53.2', '64.92', '-0.6'])
('1/1/1987', ['1.48', '2.53', '13.2', '56.4', '43.44', '-2.65'])
('2/1/1987', ['1.42', '2.58', '12.9', '58.8', '35.82', '0.12'])
('3/1/1987', ['1.47', '2.57', '12.5', '59.3', '45.95', '2.99'])
('4/1/1987', ['1.52', '2.63', '12.2', '62.6', '51.25', '9.08'])
('5/1/1987', ['1.66', '2.66', '11.9', '63', '48.82', '15.07'])
('6/1/1987', ['1.69', '2.45', '11.9', '62.5', '41.5', '19.31'])
('7/1/1987', ['1.6', '2.31', '12', '61.1', '64.36', '21.25'])
('8/1/1987', ['1.47', '2.35', '12.2', '61.9', '66.77', '20.33'])
('9/1/1987', ['1.49', '2.54', '12.6', '63.7', '66.34', '16.19'])
('10/1/1987', ['1.55', '2.62', '12.9', '62.9', '36.3', '9.6'])
('11/1/1987', ['1.61', '2.69', '12.9', '62', '67.59', '3.7'])
('12/1/1987', ['1.72', '2.7', '12.7', '62.2', '41.6', '-1.41'])
('1/1/1988', ['1.77', '2.75', '12.5', '65.4', '46.35', '-4.47'])
('2/1/1988', ['1.83', '2.79', '12.2', '67.4', '46.03', '-1.61'])
('3/1/1988', ['1.86', '2.74', '11.9', '68.3', '61.05', '3.04'])
('4/1/1988', ['1.88', '2.79', '11.6', '69', '41.18', '8.57'])
('5/1/1988', ['1.94', '2.97', '11.4', '69.3', '74.57', '14.42'])
('6/1/1988', ['2.41', '3.37', '11.3', '65', '88.2', '19.67'])
('7/1/1988', ['2.72', '3.5', '11.4', '63.2', '71.4', '21.99'])
